alpha-1-B glycoprotein	A1BG
olfactory receptor family 2 subfamily AM member 1 pseudogene	OR2AM1P
olfactory receptor family 2 subfamily AO member 1 pseudogene	OR2AO1P
olfactory receptor family 2 subfamily AP member 1	OR2AP1
olfactory receptor family 2 subfamily AQ member 1 pseudogene	OR2AQ1P
olfactory receptor family 2 subfamily AS member 1 pseudogene	OR2AS1P
olfactory receptor family 2 subfamily AS member 2 pseudogene	OR2AS2P
olfactory receptor family 2 subfamily AT member 1 pseudogene	OR2AT1P
olfactory receptor family 2 subfamily AT member 2 pseudogene	OR2AT2P
olfactory receptor family 2 subfamily AT member 4	OR2AT4
olfactory receptor family 2 subfamily B member 2	OR2B2
olfactory receptor family 2 subfamily B member 3	OR2B3
olfactory receptor family 2 subfamily B member 4 pseudogene	OR2B4P
olfactory receptor family 2 subfamily B member 6	OR2B6
olfactory receptor family 2 subfamily B member 7 pseudogene	OR2B7P
olfactory receptor family 2 subfamily B member 8 pseudogene	OR2B8P
olfactory receptor family 2 subfamily B member 11	OR2B11
olfactory receptor family 2 subfamily BH member 1 pseudogene	OR2BH1P
olfactory receptor family 2 subfamily C member 1	OR2C1
olfactory receptor family 2 subfamily C member 3	OR2C3
olfactory receptor family 2 subfamily D member 2	OR2D2
olfactory receptor family 2 subfamily D member 3	OR2D3
olfactory receptor family 2 subfamily E member 1 pseudogene	OR2E1P
olfactory receptor family 2 subfamily F member 1 (gene/pseudogene)	OR2F1
olfactory receptor family 2 subfamily F member 2	OR2F2
olfactory receptor family 2 subfamily G member 1 pseudogene	OR2G1P
olfactory receptor family 2 subfamily G member 2	OR2G2
olfactory receptor family 2 subfamily G member 3	OR2G3
olfactory receptor family 2 subfamily G member 6	OR2G6
olfactory receptor family 2 subfamily H member 1	OR2H1
olfactory receptor family 2 subfamily H member 2	OR2H2
olfactory receptor family 2 subfamily H member 4 pseudogene	OR2H4P
olfactory receptor family 2 subfamily H member 5 pseudogene	OR2H5P
olfactory receptor family 2 subfamily I member 1 pseudogene	OR2I1P
olfactory receptor family 2 subfamily J member 1 (gene/pseudogene)	OR2J1
olfactory receptor family 2 subfamily J member 2	OR2J2
olfactory receptor family 2 subfamily J member 3	OR2J3
olfactory receptor family 2 subfamily J member 4 pseudogene	OR2J4P
olfactory receptor family 2 subfamily K member 2	OR2K2
olfactory receptor family 2 subfamily L member 1 pseudogene	OR2L1P
olfactory receptor family 2 subfamily L member 2	OR2L2
olfactory receptor family 2 subfamily L member 3	OR2L3
olfactory receptor family 2 subfamily L member 5	OR2L5
olfactory receptor family 2 subfamily L member 6 pseudogene	OR2L6P
olfactory receptor family 2 subfamily L member 8 (gene/pseudogene)	OR2L8
olfactory receptor family 2 subfamily L member 9 pseudogene	OR2L9P
olfactory receptor family 2 subfamily L member 13	OR2L13
olfactory receptor family 2 subfamily M member 1 pseudogene	OR2M1P
olfactory receptor family 2 subfamily M member 2	OR2M2
olfactory receptor family 2 subfamily M member 3	OR2M3
olfactory receptor family 2 subfamily M member 4	OR2M4
olfactory receptor family 2 subfamily M member 5	OR2M5
olfactory receptor family 2 subfamily M member 7	OR2M7
olfactory receptor family 2 subfamily N member 1 pseudogene	OR2N1P
olfactory receptor family 2 subfamily P member 1 pseudogene	OR2P1P
olfactory receptor family 2 subfamily Q member 1 pseudogene	OR2Q1P
olfactory receptor family 2 subfamily R member 1, pseudogene	OR2R1P
olfactory receptor family 2 subfamily S member 1 pseudogene	OR2S1P
olfactory receptor family 2 subfamily S member 2 (gene/pseudogene)	OR2S2
olfactory receptor family 2 subfamily T member 1	OR2T1
olfactory receptor family 2 subfamily T member 2	OR2T2
olfactory receptor family 2 subfamily T member 3	OR2T3
olfactory receptor family 2 subfamily T member 4	OR2T4
olfactory receptor family 2 subfamily T member 5	OR2T5
olfactory receptor family 2 subfamily T member 6	OR2T6
olfactory receptor family 2 subfamily T member 7	OR2T7
olfactory receptor family 2 subfamily T member 8	OR2T8
olfactory receptor family 2 subfamily T member 10	OR2T10
olfactory receptor family 2 subfamily T member 11 (gene/pseudogene)	OR2T11
olfactory receptor family 2 subfamily T member 12	OR2T12
olfactory receptor family 2 subfamily T member 27	OR2T27
olfactory receptor family 2 subfamily T member 29	OR2T29
olfactory receptor family 2 subfamily T member 32 pseudogene	OR2T32P
olfactory receptor family 2 subfamily T member 33	OR2T33
olfactory receptor family 2 subfamily T member 34	OR2T34
olfactory receptor family 2 subfamily T member 35	OR2T35
olfactory receptor family 2 subfamily U member 1 pseudogene	OR2U1P
olfactory receptor family 2 subfamily U member 2 pseudogene	OR2U2P
olfactory receptor family 2 subfamily V member 1	OR2V1
olfactory receptor family 2 subfamily V member 2	OR2V2
olfactory receptor family 2 subfamily W member 1	OR2W1
olfactory receptor family 2 subfamily W member 2 pseudogene	OR2W2P
olfactory receptor family 2 subfamily W member 3	OR2W3
olfactory receptor family 2 subfamily W member 4 pseudogene	OR2W4P
olfactory receptor family 2 subfamily W member 5 (gene/pseudogene)	OR2W5
olfactory receptor family 2 subfamily W member 6 pseudogene	OR2W6P
olfactory receptor family 2 subfamily X member 1 pseudogene	OR2X1P
olfactory receptor family 2 subfamily Y member 1	OR2Y1
olfactory receptor family 2 subfamily Z member 1	OR2Z1
olfactory receptor family 3 subfamily A member 1	OR3A1
olfactory receptor family 3 subfamily A member 2	OR3A2
olfactory receptor family 3 subfamily A member 3	OR3A3
olfactory receptor family 3 subfamily A member 4 pseudogene	OR3A4P
olfactory receptor family 3 subfamily A member 5 pseudogene	OR3A5P
olfactory receptor family 3 subfamily B member 1 pseudogene	OR3B1P
olfactory receptor family 3 subfamily D member 1 pseudogene	OR3D1P
olfactory receptor family 4 subfamily A member 1 pseudogene	OR4A1P
olfactory receptor family 4 subfamily A member 2 pseudogene	OR4A2P
olfactory receptor family 4 subfamily A member 3 pseudogene	OR4A3P
olfactory receptor family 4 subfamily A member 4 pseudogene	OR4A4P
olfactory receptor family 4 subfamily A member 5	OR4A5
olfactory receptor family 4 subfamily A member 6 pseudogene	OR4A6P
olfactory receptor family 4 subfamily A member 7 pseudogene	OR4A7P
olfactory receptor family 4 subfamily A member 8 (gene/pseudogene)	OR4A8
olfactory receptor family 4 subfamily A member 9 pseudogene	OR4A9P
olfactory receptor family 4 subfamily A member 10 pseudogene	OR4A10P
olfactory receptor family 4 subfamily A member 11 pseudogene	OR4A11P
olfactory receptor family 4 subfamily A member 12 pseudogene	OR4A12P
olfactory receptor family 4 subfamily A member 13 pseudogene	OR4A13P
olfactory receptor family 4 subfamily A member 14 pseudogene	OR4A14P
olfactory receptor family 4 subfamily A member 15	OR4A15
olfactory receptor family 4 subfamily A member 16	OR4A16
olfactory receptor family 4 subfamily A member 17 pseudogene	OR4A17P
olfactory receptor family 4 subfamily A member 18 pseudogene	OR4A18P
olfactory receptor family 4 subfamily A member 19 pseudogene	OR4A19P
olfactory receptor family 4 subfamily A member 21 pseudogene	OR4A21P
olfactory receptor family 4 subfamily A member 40 pseudogene	OR4A40P
olfactory receptor family 4 subfamily A member 41 pseudogene	OR4A41P
olfactory receptor family 4 subfamily A member 42 pseudogene	OR4A42P
olfactory receptor family 4 subfamily A member 43 pseudogene	OR4A43P
olfactory receptor family 4 subfamily A member 44 pseudogene	OR4A44P
olfactory receptor family 4 subfamily A member 45 pseudogene	OR4A45P
olfactory receptor family 4 subfamily A member 46 pseudogene	OR4A46P
olfactory receptor family 4 subfamily A member 47	OR4A47
olfactory receptor family 4 subfamily A member 48 pseudogene	OR4A48P
olfactory receptor family 4 subfamily A member 49 pseudogene	OR4A49P
olfactory receptor family 4 subfamily A member 50 pseudogene	OR4A50P
olfactory receptor family 4 subfamily B member 1	OR4B1
olfactory receptor family 4 subfamily B member 2 pseudogene	OR4B2P
olfactory receptor family 4 subfamily C member 1 pseudogene	OR4C1P
olfactory receptor family 4 subfamily C member 2 pseudogene	OR4C2P
olfactory receptor family 4 subfamily C member 3	OR4C3
olfactory receptor family 4 subfamily C member 4 pseudogene	OR4C4P
olfactory receptor family 4 subfamily C member 5 (gene/pseudogene)	OR4C5
olfactory receptor family 4 subfamily C member 6	OR4C6
olfactory receptor family 4 subfamily C member 7 pseudogene	OR4C7P
olfactory receptor family 4 subfamily C member 9 pseudogene	OR4C9P
olfactory receptor family 4 subfamily C member 10 pseudogene	OR4C10P
olfactory receptor family 4 subfamily C member 11	OR4C11
olfactory receptor family 4 subfamily C member 12	OR4C12
olfactory receptor family 4 subfamily C member 13	OR4C13
olfactory receptor family 4 subfamily C member 14 pseudogene	OR4C14P
olfactory receptor family 4 subfamily C member 15	OR4C15
olfactory receptor family 4 subfamily C member 16 (gene/pseudogene)	OR4C16
olfactory receptor family 4 subfamily C member 45 (gene/pseudogene)	OR4C45
olfactory receptor family 4 subfamily C member 46	OR4C46
olfactory receptor family 4 subfamily C member 48 pseudogene	OR4C48P
olfactory receptor family 4 subfamily C member 49 pseudogene	OR4C49P
olfactory receptor family 4 subfamily C member 50 pseudogene	OR4C50P
olfactory receptor family 4 subfamily D member 1	OR4D1
olfactory receptor family 4 subfamily D member 2	OR4D2
olfactory receptor family 4 subfamily D member 5	OR4D5
olfactory receptor family 4 subfamily D member 6	OR4D6
olfactory receptor family 4 subfamily D member 7 pseudogene	OR4D7P
olfactory receptor family 4 subfamily D member 8 pseudogene	OR4D8P
olfactory receptor family 4 subfamily D member 9	OR4D9
olfactory receptor family 4 subfamily D member 10	OR4D10
olfactory receptor family 4 subfamily D member 11	OR4D11
olfactory receptor family 4 subfamily D member 12 pseudogene	OR4D12P
olfactory receptor family 4 subfamily E member 1 (gene/pseudogene)	OR4E1
olfactory receptor family 4 subfamily E member 2	OR4E2
olfactory receptor family 4 subfamily F member 1 pseudogene	OR4F1P
olfactory receptor family 4 subfamily F member 2 pseudogene	OR4F2P
olfactory receptor family 4 subfamily F member 3	OR4F3
olfactory receptor family 4 subfamily F member 4	OR4F4
olfactory receptor family 4 subfamily F member 5	OR4F5
olfactory receptor family 4 subfamily F member 6	OR4F6
olfactory receptor family 4 subfamily F member 7 pseudogene	OR4F7P
olfactory receptor family 4 subfamily F member 8 pseudogene	OR4F8P
olfactory receptor family 4 subfamily F member 13 pseudogene	OR4F13P
olfactory receptor family 4 subfamily F member 14 pseudogene	OR4F14P
olfactory receptor family 4 subfamily F member 15	OR4F15
olfactory receptor family 4 subfamily F member 16	OR4F16
olfactory receptor family 4 subfamily F member 17	OR4F17
olfactory receptor family 4 subfamily F member 21	OR4F21
olfactory receptor family 4 subfamily F member 28 pseudogene	OR4F28P
olfactory receptor family 4 subfamily F member 29	OR4F29
olfactory receptor family 4 subfamily G member 1 pseudogene	OR4G1P
olfactory receptor family 4 subfamily G member 2 pseudogene	OR4G2P
olfactory receptor family 4 subfamily G member 3 pseudogene	OR4G3P
olfactory receptor family 4 subfamily G member 4 pseudogene	OR4G4P
olfactory receptor family 4 subfamily G member 6 pseudogene	OR4G6P
olfactory receptor family 4 subfamily G member 11 pseudogene	OR4G11P
olfactory receptor family 4 subfamily H member 6 pseudogene	OR4H6P
olfactory receptor family 4 subfamily H member 12 pseudogene	OR4H12P
olfactory receptor family 4 subfamily K member 1	OR4K1
olfactory receptor family 4 subfamily K member 2	OR4K2
olfactory receptor family 4 subfamily K member 3 (gene/pseudogene)	OR4K3
olfactory receptor family 4 subfamily K member 4 pseudogene	OR4K4P
olfactory receptor family 4 subfamily K member 5	OR4K5
olfactory receptor family 4 subfamily K member 6 pseudogene	OR4K6P
olfactory receptor family 4 subfamily K member 7 pseudogene	OR4K7P
olfactory receptor family 4 subfamily K member 8 pseudogene	OR4K8P
olfactory receptor family 4 subfamily K member 11 pseudogene	OR4K11P
olfactory receptor family 4 subfamily K member 12 pseudogene	OR4K12P
olfactory receptor family 4 subfamily K member 13	OR4K13
olfactory receptor family 4 subfamily K member 14	OR4K14
olfactory receptor family 4 subfamily K member 15	OR4K15
olfactory receptor family 4 subfamily K member 16 pseudogene	OR4K16P
olfactory receptor family 4 subfamily K member 17	OR4K17
olfactory receptor family 4 subfamily L member 1	OR4L1
olfactory receptor family 4 subfamily M member 1	OR4M1
olfactory receptor family 4 subfamily M member 2	OR4M2
olfactory receptor family 4 subfamily N member 1 pseudogene	OR4N1P
olfactory receptor family 4 subfamily N member 2	OR4N2
olfactory receptor family 4 subfamily N member 3 pseudogene	OR4N3P
olfactory receptor family 4 subfamily N member 4	OR4N4
olfactory receptor family 4 subfamily N member 5	OR4N5
olfactory receptor family 4 subfamily P member 1 pseudogene	OR4P1P
olfactory receptor family 4 subfamily P member 4	OR4P4
olfactory receptor family 4 subfamily Q member 1 pseudogene	OR4Q1P
olfactory receptor family 4 subfamily Q member 2 (gene/pseudogene)	OR4Q2
olfactory receptor family 4 subfamily Q member 3	OR4Q3
olfactory receptor family 4 subfamily R member 1 pseudogene	OR4R1P
olfactory receptor family 4 subfamily R member 2 pseudogene	OR4R2P
olfactory receptor family 4 subfamily R member 3 pseudogene	OR4R3P
olfactory receptor family 4 subfamily S member 1	OR4S1
olfactory receptor family 4 subfamily S member 2	OR4S2
olfactory receptor family 4 subfamily T member 1 pseudogene	OR4T1P
olfactory receptor family 4 subfamily U member 1 pseudogene	OR4U1P
olfactory receptor family 4 subfamily V member 1 pseudogene	OR4V1P
olfactory receptor family 4 subfamily W member 1 pseudogene	OR4W1P
olfactory receptor family 4 subfamily X member 1 (gene/pseudogene)	OR4X1
olfactory receptor family 4 subfamily X member 2 (gene/pseudogene)	OR4X2
olfactory receptor family 4 subfamily X member 7 pseudogene	OR4X7P
olfactory receptor family 5 subfamily A member 1	OR5A1
olfactory receptor family 5 subfamily A member 2	OR5A2
olfactory receptor family 5 subfamily AC member 1 (gene/pseudogene)	OR5AC1
olfactory receptor family 5 subfamily AC member 2	OR5AC2
olfactory receptor family 5 subfamily AC member 4 pseudogene	OR5AC4P
olfactory receptor family 5 subfamily AH member 1 pseudogene	OR5AH1P
olfactory receptor family 5 subfamily AK member 1 pseudogene	OR5AK1P
olfactory receptor family 5 subfamily AK member 2	OR5AK2
olfactory receptor family 5 subfamily AK member 3 pseudogene	OR5AK3P
olfactory receptor family 5 subfamily AK member 4 pseudogene	OR5AK4P
olfactory receptor family 5 subfamily AL member 1 (gene/pseudogene)	OR5AL1
olfactory receptor family 5 subfamily AL member 2 pseudogene	OR5AL2P
olfactory receptor family 5 subfamily AM member 1 pseudogene	OR5AM1P
olfactory receptor family 5 subfamily AN member 1	OR5AN1
olfactory receptor family 5 subfamily AN member 2 pseudogene	OR5AN2P
olfactory receptor family 5 subfamily AO member 1 pseudogene	OR5AO1P
olfactory receptor family 5 subfamily AP member 1 pseudogene	OR5AP1P
olfactory receptor family 5 subfamily AP member 2	OR5AP2
olfactory receptor family 5 subfamily AQ member 1 pseudogene	OR5AQ1P
olfactory receptor family 5 subfamily AR member 1 (gene/pseudogene)	OR5AR1
olfactory receptor family 5 subfamily AS member 1	OR5AS1
olfactory receptor family 5 subfamily AU member 1	OR5AU1
olfactory receptor family 5 subfamily AW member 1 pseudogene	OR5AW1P
olfactory receptor family 5 subfamily AZ member 1 pseudogene	OR5AZ1P
olfactory receptor family 5 subfamily B member 1 pseudogene	OR5B1P
olfactory receptor family 5 subfamily B member 2	OR5B2
olfactory receptor family 5 subfamily B member 3	OR5B3
olfactory receptor family 5 subfamily B member 10 pseudogene	OR5B10P
olfactory receptor family 5 subfamily B member 12	OR5B12
olfactory receptor family 5 subfamily B member 15 pseudogene	OR5B15P
olfactory receptor family 5 subfamily B member 17	OR5B17
olfactory receptor family 5 subfamily B member 19 pseudogene	OR5B19P
olfactory receptor family 5 subfamily B member 21	OR5B21
olfactory receptor family 5 subfamily BA member 1 pseudogene	OR5BA1P
olfactory receptor family 5 subfamily BB member 1 pseudogene	OR5BB1P
olfactory receptor family 5 subfamily BC member 1 pseudogene	OR5BC1P
olfactory receptor family 5 subfamily BD member 1 pseudogene	OR5BD1P
olfactory receptor family 5 subfamily BE member 1 pseudogene	OR5BE1P
olfactory receptor family 5 subfamily BH member 1 pseudogene	OR5BH1P
olfactory receptor family 5 subfamily BJ member 1 pseudogene	OR5BJ1P
olfactory receptor family 5 subfamily BK member 1 pseudogene	OR5BK1P
olfactory receptor family 5 subfamily BL member 1 pseudogene	OR5BL1P
olfactory receptor family 5 subfamily BM member 1 pseudogene	OR5BM1P
olfactory receptor family 5 subfamily BN member 1 pseudogene	OR5BN1P
olfactory receptor family 5 subfamily BN member 2 pseudogene	OR5BN2P
olfactory receptor family 5 subfamily BP member 1 pseudogene	OR5BP1P
olfactory receptor family 5 subfamily BQ member 1 pseudogene	OR5BQ1P
olfactory receptor family 5 subfamily BR member 1 pseudogene	OR5BR1P
olfactory receptor family 5 subfamily BS member 1 pseudogene	OR5BS1P
olfactory receptor family 5 subfamily BT member 1 pseudogene	OR5BT1P
olfactory receptor family 5 subfamily C member 1	OR5C1
olfactory receptor family 5 subfamily D member 2 pseudogene	OR5D2P
olfactory receptor family 5 subfamily D member 3 pseudogene	OR5D3P
olfactory receptor family 5 subfamily D member 13 (gene/pseudogene)	OR5D13
olfactory receptor family 5 subfamily D member 14	OR5D14
olfactory receptor family 5 subfamily D member 15 pseudogene	OR5D15P
olfactory receptor family 5 subfamily D member 16	OR5D16
olfactory receptor family 5 subfamily D member 17 pseudogene	OR5D17P
olfactory receptor family 5 subfamily D member 18	OR5D18
olfactory receptor family 5 subfamily E member 1 pseudogene	OR5E1P
olfactory receptor family 5 subfamily F member 1	OR5F1
olfactory receptor family 5 subfamily F member 2 pseudogene	OR5F2P
olfactory receptor family 5 subfamily G member 1 pseudogene	OR5G1P
olfactory receptor family 5 subfamily G member 3 (gene/pseudogene)	OR5G3
olfactory receptor family 5 subfamily G member 4 pseudogene	OR5G4P
olfactory receptor family 5 subfamily G member 5 pseudogene	OR5G5P
olfactory receptor family 5 subfamily H member 1	OR5H1
olfactory receptor family 5 subfamily H member 2	OR5H2
olfactory receptor family 5 subfamily H member 3 pseudogene	OR5H3P
olfactory receptor family 5 subfamily H member 4 pseudogene	OR5H4P
olfactory receptor family 5 subfamily H member 5 pseudogene	OR5H5P
olfactory receptor family 5 subfamily H member 6 (gene/pseudogene)	OR5H6
olfactory receptor family 5 subfamily H member 7 pseudogene	OR5H7P
olfactory receptor family 5 subfamily H member 8 (gene/pseudogene)	OR5H8
olfactory receptor family 5 subfamily H member 14	OR5H14
olfactory receptor family 5 subfamily H member 15	OR5H15
olfactory receptor family 5 subfamily I member 1	OR5I1
olfactory receptor family 5 subfamily J member 1 pseudogene	OR5J1P
olfactory receptor family 5 subfamily J member 2	OR5J2
olfactory receptor family 5 subfamily J member 7 pseudogene	OR5J7P
olfactory receptor family 5 subfamily K member 1	OR5K1
olfactory receptor family 5 subfamily K member 2	OR5K2
olfactory receptor family 5 subfamily K member 3	OR5K3
olfactory receptor family 5 subfamily K member 4	OR5K4
olfactory receptor family 5 subfamily L member 1 (gene/pseudogene)	OR5L1
olfactory receptor family 5 subfamily L member 2	OR5L2
olfactory receptor family 5 subfamily M member 1	OR5M1
olfactory receptor family 5 subfamily M member 2 pseudogene	OR5M2P
olfactory receptor family 5 subfamily M member 3	OR5M3
olfactory receptor family 5 subfamily M member 4 pseudogene	OR5M4P
olfactory receptor family 5 subfamily M member 5 pseudogene	OR5M5P
olfactory receptor family 5 subfamily M member 6 pseudogene	OR5M6P
olfactory receptor family 5 subfamily M member 7 pseudogene	OR5M7P
olfactory receptor family 5 subfamily M member 8	OR5M8
olfactory receptor family 5 subfamily M member 9	OR5M9
olfactory receptor family 5 subfamily M member 10	OR5M10
olfactory receptor family 5 subfamily M member 11	OR5M11
olfactory receptor family 5 subfamily M member 12 pseudogene	OR5M12P
olfactory receptor family 5 subfamily M member 13 pseudogene	OR5M13P
olfactory receptor family 5 subfamily M member 14 pseudogene	OR5M14P
olfactory receptor family 5 subfamily P member 1 pseudogene	OR5P1P
olfactory receptor family 5 subfamily P member 2	OR5P2
olfactory receptor family 5 subfamily P member 3	OR5P3
olfactory receptor family 5 subfamily P member 4 pseudogene	OR5P4P
olfactory receptor family 5 subfamily R member 1 (gene/pseudogene)	OR5R1
olfactory receptor family 5 subfamily S member 1 pseudogene	OR5S1P
olfactory receptor family 5 subfamily T member 1	OR5T1
olfactory receptor family 5 subfamily T member 2	OR5T2
olfactory receptor family 5 subfamily T member 3	OR5T3
olfactory receptor family 5 subfamily V member 1	OR5V1
olfactory receptor family 5 subfamily W member 1 pseudogene	OR5W1P
olfactory receptor family 5 subfamily W member 2	OR5W2
olfactory receptor family 6 subfamily A member 2	OR6A2
olfactory receptor family 6 subfamily B member 1	OR6B1
olfactory receptor family 6 subfamily B member 2	OR6B2
olfactory receptor family 6 subfamily B member 3	OR6B3
olfactory receptor family 6 subfamily C member 1	OR6C1
olfactory receptor family 6 subfamily C member 2	OR6C2
olfactory receptor family 6 subfamily C member 3	OR6C3
olfactory receptor family 6 subfamily C member 4	OR6C4
olfactory receptor family 6 subfamily C member 5 pseudogene	OR6C5P
olfactory receptor family 6 subfamily C member 6	OR6C6
olfactory receptor family 6 subfamily C member 7 pseudogene	OR6C7P
olfactory receptor family 6 subfamily C member 64 pseudogene	OR6C64P
olfactory receptor family 6 subfamily C member 65	OR6C65
olfactory receptor family 6 subfamily C member 66 pseudogene	OR6C66P
olfactory receptor family 6 subfamily C member 68	OR6C68
olfactory receptor family 6 subfamily C member 69 pseudogene	OR6C69P
olfactory receptor family 6 subfamily C member 70	OR6C70
olfactory receptor family 6 subfamily C member 71 pseudogene	OR6C71P
olfactory receptor family 6 subfamily C member 72 pseudogene	OR6C72P
olfactory receptor family 6 subfamily C member 73 pseudogene	OR6C73P
olfactory receptor family 6 subfamily C member 74	OR6C74
olfactory receptor family 6 subfamily C member 75	OR6C75
olfactory receptor family 6 subfamily C member 76	OR6C76
olfactory receptor family 6 subfamily D member 1 pseudogene	OR6D1P
olfactory receptor family 6 subfamily E member 1 pseudogene	OR6E1P
olfactory receptor family 6 subfamily F member 1	OR6F1
olfactory receptor family 6 subfamily J member 1 (gene/pseudogene)	OR6J1
olfactory receptor family 6 subfamily K member 1 pseudogene	OR6K1P
olfactory receptor family 6 subfamily K member 2	OR6K2
olfactory receptor family 6 subfamily K member 3	OR6K3
olfactory receptor family 6 subfamily K member 4 pseudogene	OR6K4P
olfactory receptor family 6 subfamily K member 5 pseudogene	OR6K5P
olfactory receptor family 6 subfamily K member 6	OR6K6
olfactory receptor family 6 subfamily L member 1 pseudogene	OR6L1P
olfactory receptor family 6 subfamily L member 2 pseudogene	OR6L2P
olfactory receptor family 6 subfamily M member 1	OR6M1
olfactory receptor family 6 subfamily M member 2 pseudogene	OR6M2P
olfactory receptor family 6 subfamily M member 3 pseudogene	OR6M3P
olfactory receptor family 6 subfamily N member 1	OR6N1
olfactory receptor family 6 subfamily N member 2	OR6N2
olfactory receptor family 6 subfamily P member 1	OR6P1
olfactory receptor family 6 subfamily Q member 1 (gene/pseudogene)	OR6Q1
olfactory receptor family 6 subfamily R member 1 pseudogene	OR6R1P
olfactory receptor family 6 subfamily R member 2 pseudogene	OR6R2P
olfactory receptor family 6 subfamily S member 1	OR6S1
olfactory receptor family 6 subfamily T member 1	OR6T1
olfactory receptor family 6 subfamily U member 2 pseudogene	OR6U2P
olfactory receptor family 6 subfamily V member 1	OR6V1
olfactory receptor family 6 subfamily W member 1 pseudogene	OR6W1P
olfactory receptor family 6 subfamily X member 1	OR6X1
olfactory receptor family 6 subfamily Y member 1	OR6Y1
olfactory receptor family 7 subfamily A member 1 pseudogene	OR7A1P
olfactory receptor family 7 subfamily A member 2 pseudogene	OR7A2P
olfactory receptor family 7 subfamily A member 3 pseudogene	OR7A3P
olfactory receptor family 7 subfamily A member 5	OR7A5
olfactory receptor family 7 subfamily A member 8 pseudogene	OR7A8P
olfactory receptor family 7 subfamily A member 10	OR7A10
olfactory receptor family 7 subfamily A member 11 pseudogene	OR7A11P
olfactory receptor family 7 subfamily A member 15 pseudogene	OR7A15P
olfactory receptor family 7 subfamily A member 17	OR7A17
olfactory receptor family 7 subfamily A member 18 pseudogene	OR7A18P
olfactory receptor family 7 subfamily A member 19 pseudogene	OR7A19P
olfactory receptor family 7 subfamily C member 1	OR7C1
olfactory receptor family 7 subfamily C member 2	OR7C2
olfactory receptor family 7 subfamily D member 1 pseudogene	OR7D1P
olfactory receptor family 7 subfamily D member 2	OR7D2
olfactory receptor family 7 subfamily D member 4	OR7D4
olfactory receptor family 7 subfamily D member 11 pseudogene	OR7D11P
olfactory receptor family 7 subfamily E member 1 pseudogene	OR7E1P
olfactory receptor family 7 subfamily E member 2 pseudogene	OR7E2P
olfactory receptor family 7 subfamily E member 4 pseudogene	OR7E4P
olfactory receptor family 7 subfamily E member 5 pseudogene	OR7E5P
olfactory receptor family 7 subfamily E member 7 pseudogene	OR7E7P
olfactory receptor family 7 subfamily E member 8 pseudogene	OR7E8P
olfactory receptor family 7 subfamily E member 10 pseudogene	OR7E10P
olfactory receptor family 7 subfamily E member 11 pseudogene	OR7E11P
olfactory receptor family 7 subfamily E member 12 pseudogene	OR7E12P
olfactory receptor family 7 subfamily E member 13 pseudogene	OR7E13P
olfactory receptor family 7 subfamily E member 14 pseudogene	OR7E14P
olfactory receptor family 7 subfamily E member 15 pseudogene	OR7E15P
olfactory receptor family 7 subfamily E member 16 pseudogene	OR7E16P
olfactory receptor family 7 subfamily E member 18 pseudogene	OR7E18P
olfactory receptor family 7 subfamily E member 19 pseudogene	OR7E19P
olfactory receptor family 7 subfamily E member 21 pseudogene	OR7E21P
olfactory receptor family 7 subfamily E member 22 pseudogene	OR7E22P
olfactory receptor family 7 subfamily E member 23 pseudogene	OR7E23P
olfactory receptor family 7 subfamily E member 24	OR7E24
olfactory receptor family 7 subfamily E member 25 pseudogene	OR7E25P
olfactory receptor family 7 subfamily E member 26 pseudogene	OR7E26P
olfactory receptor family 7 subfamily E member 28 pseudogene	OR7E28P
olfactory receptor family 7 subfamily E member 29 pseudogene	OR7E29P
olfactory receptor family 7 subfamily E member 31 pseudogene	OR7E31P
olfactory receptor family 7 subfamily E member 33 pseudogene	OR7E33P
olfactory receptor family 7 subfamily E member 35 pseudogene	OR7E35P
olfactory receptor family 7 subfamily E member 36 pseudogene	OR7E36P
olfactory receptor family 7 subfamily E member 37 pseudogene	OR7E37P
olfactory receptor family 7 subfamily E member 38 pseudogene	OR7E38P
olfactory receptor family 7 subfamily E member 39 pseudogene	OR7E39P
olfactory receptor family 7 subfamily E member 41 pseudogene	OR7E41P
olfactory receptor family 7 subfamily E member 43 pseudogene	OR7E43P
olfactory receptor family 7 subfamily E member 46 pseudogene	OR7E46P
olfactory receptor family 7 subfamily E member 47 pseudogene	OR7E47P
olfactory receptor family 7 subfamily E member 53 pseudogene	OR7E53P
olfactory receptor family 7 subfamily E member 55 pseudogene	OR7E55P
olfactory receptor family 7 subfamily E member 59 pseudogene	OR7E59P
olfactory receptor family 7 subfamily E member 62 pseudogene	OR7E62P
olfactory receptor family 7 subfamily E member 66 pseudogene	OR7E66P
olfactory receptor family 7 subfamily E member 83 pseudogene	OR7E83P
olfactory receptor family 7 subfamily E member 84 pseudogene	OR7E84P
olfactory receptor family 7 subfamily E member 85 pseudogene	OR7E85P
olfactory receptor family 7 subfamily E member 86 pseudogene	OR7E86P
olfactory receptor family 7 subfamily E member 87 pseudogene	OR7E87P
olfactory receptor family 7 subfamily E member 89 pseudogene	OR7E89P
olfactory receptor family 7 subfamily E member 90 pseudogene	OR7E90P
olfactory receptor family 7 subfamily E member 91 pseudogene	OR7E91P
olfactory receptor family 7 subfamily E member 93 pseudogene	OR7E93P
olfactory receptor family 7 subfamily E member 94 pseudogene	OR7E94P
olfactory receptor family 7 subfamily E member 96 pseudogene	OR7E96P
