Abnormality of body height	Abnormality of body height
Short limb dwarfism, disproportionate	Disproportionate short-limb short stature
Short stature, disproportionate short limb	Disproportionate short-limb short stature
Short stature, disproportionate short-limb	Disproportionate short-limb short stature
Short-limb dwarfism	Disproportionate short-limb short stature
Short-limbed dwarfism	Disproportionate short-limb short stature
Mild prenatal growth deficiency	Mild intrauterine growth retardation
Loss of fat tissue	Adipose tissue loss
Growth delay as children	Postnatal growth retardation
Growth retardation as children	Postnatal growth retardation
Postnatal growth deceleration	Postnatal growth retardation
Postnatal growth deficiency	Postnatal growth retardation
Postnatal growth failure	Postnatal growth retardation
Disproportionately short upper portion of limb	Rhizomelia
Rhizomelic dwarfism	Rhizomelia
Rhizomelic limb shortening	Rhizomelia
Rhizomelic short limbs	Rhizomelia
Rhizomelic short stature	Rhizomelia
Rhizomelic shortening	Rhizomelia
Short stature, rhizomelic	Rhizomelia
Symmetrical rhizomelic limb shortening	Rhizomelia
Lethal micromelic dwarfism	Lethal short-limbed short stature
Lethal short-limbed dwarfism	Lethal short-limbed short stature
Truncal obesity apparent in childhood	Childhood-onset truncal obesity
Dwarfism, neonatal short-limbed	Neonatal short-limb short stature
Neonatal short-limbed dwarfism	Neonatal short-limb short stature
Short limb dwarfism recognizable at birth	Neonatal short-limb short stature
Short-limb dwarfism identifiable at birth	Neonatal short-limb short stature
Short-limb dwarfism identifiable neonatally	Neonatal short-limb short stature
Short-limbed dwarfism identifiable at birth	Neonatal short-limb short stature
Childhood-onset short-trunk short stature	Childhood-onset short-trunk short stature
Disproportionate short-trunk short stature, identifiable in childhood	Childhood-onset short-trunk short stature
Short-trunk dwarfism identifiable during childhood	Childhood-onset short-trunk short stature
Generalized low muscle tone in neonate	Generalized neonatal hypotonia
Hypotonia, neonatal, generalized	Generalized neonatal hypotonia
Axial hypotonia	Muscular hypotonia of the trunk
Low muscle tone in trunk	Muscular hypotonia of the trunk
Truncal hypotonia	Muscular hypotonia of the trunk
Generalized swelling of lymph nodes	Generalized lymphadenopathy
Swollen lymph nodes affecting all regions of the body	Generalized lymphadenopathy
Rhabdomyolysis, acute	Acute rhabdomyolysis
Lower leg amyotrophy	Distal lower limb amyotrophy
Lower limb atrophy	Distal lower limb amyotrophy
Lower limb degeneration	Distal lower limb amyotrophy
Lower limb muscle hypotrophy	Distal lower limb amyotrophy
Muscle atrophy, lower limb, distal	Distal lower limb amyotrophy
Hip girdle amyotrophy	Pelvic girdle amyotrophy
Decreased muscle tone in infant	Infantile muscular hypotonia
Hypotonia early	Infantile muscular hypotonia
Hypotonia in infancy	Infantile muscular hypotonia
Hypotonia, early	Infantile muscular hypotonia
Infantile hypotonia	Infantile muscular hypotonia
Proximal muscle atrophy in upper limbs	Proximal upper limb amyotrophy
Proximal upper limb muscle atrophy	Proximal upper limb amyotrophy
Underdeveloped shoulder muscle	Shoulder muscle hypoplasia
Pectoralis major muscle hypoplasia	Pectoralis major hypoplasia
Amyotrophy involving the thigh	Proximal lower limb amyotrophy
Amyotrophy of the thigh musculature	Proximal lower limb amyotrophy
Proximal lower limb muscle atrophy	Proximal lower limb amyotrophy
Thigh muscle atrophy	Proximal lower limb amyotrophy
Wasting of thigh muscle	Proximal lower limb amyotrophy
Hypoplastic calf muscles	Calf muscle hypoplasia
Underdeveloped calf muscles	Calf muscle hypoplasia
Exercise-induced muscle stiffness	Exercise-induced muscle stiffness
Muscle stiffness with exercise	Exercise-induced muscle stiffness
Muscle stiffness, exercise-induced	Exercise-induced muscle stiffness
Decreased activities of mitochondrial-encoded respiratory chain complexes	Decreased activity of mitochondrial respiratory chain
Decreased activity of mitochondrial respiratory complexes	Decreased activity of mitochondrial respiratory chain
Calf hypertrophy	Calf muscle hypertrophy
Increased size of calf muscles	Calf muscle hypertrophy
Muscular hypertrophy of the calf muscles	Calf muscle hypertrophy
Decreased size of neck muscle	Neck muscle hypoplasia
Deficiency of neck muscle	Neck muscle hypoplasia
Hypotrophic neck muscle	Neck muscle hypoplasia
Small neck muscle	Neck muscle hypoplasia
Underdevelopment of neck muscle	Neck muscle hypoplasia
Increased intramuscular fat	Increased intramuscular fat
Absent diaphragm	Agenesis of the diaphragm
Agenesis of diaphragm	Agenesis of the diaphragm
Pelvic girdle muscle wasting	Pelvic girdle muscle atrophy
Muscle weakness, proximal, lower limbs	Proximal muscle weakness in lower limbs
Hypoplastic pectoral muscle	Pectoralis hypoplasia
Small pec muscle	Pectoralis hypoplasia
Underdeveloped pec muscle	Pectoralis hypoplasia
Loss of fat tissue in trunk	Loss of truncal subcutaneous adipose tissue
Loss of subcutaneous truncal adipose tissue	Loss of truncal subcutaneous adipose tissue
Loss of truncal adipose tissue	Loss of truncal subcutaneous adipose tissue
Increased fat below the skin in trunk	Increased subcutaneous truncal adipose tissue
Muscle hypoplasia	Hypoplasia of the musculature
Poorly developed skeletal musculature	Hypoplasia of the musculature
Underdeveloped muscle	Hypoplasia of the musculature
Intrinsic hand muscles weakness	Weakness of the intrinsic hand muscles
Hypoplastic biceps	Biceps hypoplasia
Underdeveloped biceps	Biceps hypoplasia
Underdevelopment of upper limb muscles	Upper limb muscle hypoplasia
Loss of fat tissue below the skin in gluts	Loss of gluteal subcutaneous adipose tissue
Atrophy of facial adipose tissue	Progressive loss of facial adipose tissue
Facial fat atrophy	Progressive loss of facial adipose tissue
Facial fat wasting	Progressive loss of facial adipose tissue
Loss of subcutaneous adipose tissue from face, progressive	Progressive loss of facial adipose tissue
Progressive loss of facial fat	Progressive loss of facial adipose tissue
Progressive loss of facial subcutaneous adipose tissue	Progressive loss of facial adipose tissue
Progressive loss of subcutaneous adipose tissue from face	Progressive loss of facial adipose tissue
Lax abdominal musculature	Abdominal wall muscle weakness
Foot drop	Foot dorsiflexor weakness
Foot extensor weakness	Foot dorsiflexor weakness
Footdrop	Foot dorsiflexor weakness
Rhabdomyolysis with exercise	Exercise-induced rhabdomyolysis
Difficulty running	Difficulty running
Peroneal atrophy	Peroneal muscle atrophy
Wasting of quad muscles	Quadriceps muscle atrophy
Distal muscle weakness in lower limbs	Distal lower limb muscle weakness
Muscle weakness, lower limb, distal	Distal lower limb muscle weakness
Generalized muscle atrophy, proximal and distal	Generalized limb muscle atrophy
Generalized muscle wasting	Generalized limb muscle atrophy
Loss of fat tissue below the skin from upper limbs	Loss of subcutaneous adipose tissue from upper limbs
Fat accumulation in muscle fibers	Increased muscle lipid content
Fat deposits in muscle fibers	Increased muscle lipid content
Increased muscle lipid content	Increased muscle lipid content
Lipid accumulation in skeletal muscle	Increased muscle lipid content
Muscle lipidosis	Increased muscle lipid content
Skeletal muscle lipid accumulation	Increased muscle lipid content
Hypotonia, axial, in infancy	Infantile axial hypotonia
Muscle weakness, distal, progressive	Progressive distal muscle weakness
Muscle weakness, progressive, distal	Progressive distal muscle weakness
Lipodystrophy, generalized	Generalized lipodystrophy
Progressive spinal muscle degeneration	Progressive spinal muscular atrophy
Progressive spinal muscle wasting	Progressive spinal muscular atrophy
Hyporeflexia at ankle joints	Decreased Achilles reflex
Muscle weakness, progressive, proximal	Progressive proximal muscle weakness
Midline cleft of maxillary alveolar process	Midline notch of upper alveolar ridge
Midline cleft of upper alveolar ridge	Midline notch of upper alveolar ridge
Midline notch of maxillary alveolar process	Midline notch of upper alveolar ridge
Midline notch of maxillary alveolar ridge	Midline notch of upper alveolar ridge
Midline notch of upper gum ridge	Midline notch of upper alveolar ridge
Alveolar ridge excess	Alveolar ridge overgrowth
Enlarged alveolar ridge	Alveolar ridge overgrowth
Hyperplasia of alveolar process of jaw	Alveolar ridge overgrowth
Hyperplasia of alveolar ridge	Alveolar ridge overgrowth
Hypertrophied alveolar ridge	Alveolar ridge overgrowth
Increased size of alveolar ridge	Alveolar ridge overgrowth
Increased size of gum ridge	Alveolar ridge overgrowth
Overgrowth of alveolar ridge	Alveolar ridge overgrowth
Overgrowth of gum ridge	Alveolar ridge overgrowth
Thick alveolar ridges	Alveolar ridge overgrowth
Thickened alveolar ridges	Alveolar ridge overgrowth
Posteriorly placed tongue	Posteriorly placed tongue
Increasing overgrowth of gum ridge	Progressive alveolar ridge hypertropy
Increasing size of gum ridge	Progressive alveolar ridge hypertropy
Progressive hypertrophy of alveolar process of jaw	Progressive alveolar ridge hypertropy
Cleft of lower alveolar process	Cleft lower alveolar ridge
Cleft of lower gingiva	Cleft lower alveolar ridge
Cleft of lower gum ridge	Cleft lower alveolar ridge
Cleft of mandibular alveolar process	Cleft lower alveolar ridge
Cleft of mandibular gingiva	Cleft lower alveolar ridge
Notch of lower alveolar process	Cleft lower alveolar ridge
Notch of lower alveolar ridge	Cleft lower alveolar ridge
Notch of lower gum ridge	Cleft lower alveolar ridge
Notch of mandibular alveolar process	Cleft lower alveolar ridge
Notch of mandibular alveolar ridge	Cleft lower alveolar ridge
Chronic oral thrush	Chronic oral candidiasis
Central cleft palate	Median cleft palate
Midline cleft palate	Median cleft palate
Thick anterior alveolar process of jaw	Thick anterior alveolar ridges
Submucous labial cleft	Submucous cleft lip
Absence of overlap of anterior upper and lower teeth	Anterior open-bite malocclusion
Anterior open bite between upper and lower teeth	Anterior open-bite malocclusion
Anterior openbite	Anterior open-bite malocclusion
AOB	Anterior open-bite malocclusion
Apertognathia malocclusion	Anterior open-bite malocclusion
Gap between upper and lower front teeth when biting	Anterior open-bite malocclusion
Absent/small pelvis	Aplasia/Hypoplasia involving the pelvis
Absent/underdeveloped pelvis	Aplasia/Hypoplasia involving the pelvis
Absent/small pubic bones	Aplasia/Hypoplasia of the pubic bone
Absent/underdeveloped pubic bones	Aplasia/Hypoplasia of the pubic bone
Hypoplastic/aplastic pubic bones	Aplasia/Hypoplasia of the pubic bone
Abnormal maturation of the pubic bone	Abnormal ossification of the pubic bone
Abnormal maturation of the pelvis bone	Abnormal pelvis bone ossification
Abnormal ossification involving the bones of the pelvis	Abnormal pelvis bone ossification
Abnormal maturation of thigh bone head and neck	Abnormal ossification involving the femoral head and neck
Absent/small head and neck of thighbone	Aplasia/Hypoplasia involving the femoral head and neck
Absent/underdeveloped head and neck of thighbone	Aplasia/Hypoplasia involving the femoral head and neck
Eventration of the diaphragm	Diaphragmatic eventration
Diaphragmatic paraparesis	Diaphragmatic weakness
Diminished diaphragmatic motion	Diaphragmatic weakness
Weak diaphragm	Diaphragmatic weakness
Absent/small skeleton	Aplasia/hypoplasia involving the skeleton
Absent/underdeveloped skeleton	Aplasia/hypoplasia involving the skeleton
Underdevelopment of maxilla	Aplasia/Hypoplasia of the maxilla
Underdevelopment of upper jaw bones	Aplasia/Hypoplasia of the maxilla
Abnormally small frontal sinus	Aplasia/Hypoplasia of the frontal sinuses
Abnormality of the axial skeleton	Abnormal axial skeleton morphology
Abnormality of adipose tissue	Abnormal adipose tissue morphology
Abnormality of fat tissue	Abnormal adipose tissue morphology
Abnormality of fatty tissue	Abnormal adipose tissue morphology
Inability to make and keep healthy fat tissue	Lipodystrophy
Increased adipose tissue	Increased adipose tissue
Increased fat tissue	Increased adipose tissue
Abnormal limb muscles	Abnormality of the musculature of the limbs
Muscle issues in the arms and/or legs	Abnormality of the musculature of the limbs
Absent/small muscles of extremities	Aplasia/Hypoplasia involving the musculature of the extremities
Absent/underdeveloped muscles of extremities	Aplasia/Hypoplasia involving the musculature of the extremities
Amyotrophy involving the upper limbs	Upper limb amyotrophy
Amyotrophy involving the musculature of the hand	Hand muscle atrophy
Amyotrophy of hand muscles	Hand muscle atrophy
Hand muscle degeneration	Hand muscle atrophy
Hand muscle wasting	Hand muscle atrophy
Hand muscle wasting, bilateral	Hand muscle atrophy
Abnormality of bone mineral density involving tarsal bones	Abnormal tarsal bone mineral density
Duplication involving bones of the feet	Duplication involving bones of the feet
Fusion involving the bones of the lower limbs	Synostosis involving bones of the lower limbs
Fusion involving the bones of the feet	Synostosis involving bones of the feet
Depletion of mitochondrial dna in skeletal muscle tissue	Depletion of mitochondrial DNA in muscle tissue
Duplication of bones involving the upper extremities	Duplication of bones involving the upper extremities
Abnormality of cerebral artery	Abnormal cerebral artery morphology
Abnormality of the cerebral arteries	Abnormal cerebral artery morphology
Enlarged end part of the outermost bone of little finger	Enlarged epiphysis of the distal phalanx of the 5th finger
Enlarged end part of the outermost bone of pinkie finger	Enlarged epiphysis of the distal phalanx of the 5th finger
Enlarged end part of the outermost bone of pinky finger	Enlarged epiphysis of the distal phalanx of the 5th finger
Small end part of the outermost bone of little finger	Small epiphysis of the distal phalanx of the 5th finger
Small end part of the outermost bone of pinkie finger	Small epiphysis of the distal phalanx of the 5th finger
Small end part of the outermost bone of pinky finger	Small epiphysis of the distal phalanx of the 5th finger
Delta-shaped epiphysis of the distal phalanx of the 5th finger	Triangular epiphysis of the distal phalanx of the 5th finger
Triangular end part of the outermost bone of little finger	Triangular epiphysis of the distal phalanx of the 5th finger
Triangular end part of the outermost bone of pinkie finger	Triangular epiphysis of the distal phalanx of the 5th finger
Triangular end part of the outermost bone of pinky finger	Triangular epiphysis of the distal phalanx of the 5th finger
Abnormality of the innermost bone little finger	Abnormality of the proximal phalanx of the 5th finger
Abnormality of the innermost bone pinkie finger	Abnormality of the proximal phalanx of the 5th finger
Abnormality of the innermost bone pinky finger	Abnormality of the proximal phalanx of the 5th finger
Abnormality of end part of little finger bone	Abnormality of the epiphyses of the 5th finger
Abnormality of end part of pinkie finger bone	Abnormality of the epiphyses of the 5th finger
Abnormality of end part of pinky finger bone	Abnormality of the epiphyses of the 5th finger
Abnormality of end part of the innermost bone of little finger	Abnormality of the epiphysis of the proximal phalanx of the 5th finger
Abnormality of end part of the innermost bone of pinkie finger	Abnormality of the epiphysis of the proximal phalanx of the 5th finger
Abnormality of end part of the innermost bone of pinky finger	Abnormality of the epiphysis of the proximal phalanx of the 5th finger
Delta-shaped epiphysis of the proximal phalanx of the 5th finger	Triangular epiphysis of the proximal phalanx of the 5th finger
Triangular end part of the innermost bone of little finger	Triangular epiphysis of the proximal phalanx of the 5th finger
Triangular end part of the innermost bone of pinkie finger	Triangular epiphysis of the proximal phalanx of the 5th finger
Triangular end part of the innermost bone of pinky finger	Triangular epiphysis of the proximal phalanx of the 5th finger
Angel-shaped epiphysis of the proximal phalanx of the 5th finger	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Cone-shaped end part of the innermost bone of little finger	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Cone-shaped end part of the innermost bone of pinkie finger	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Cone-shaped end part of the innermost bone of pinky finger	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Cone-shaped epiphysis of the proximal phalanx of the little finger	Cone-shaped epiphysis of the proximal phalanx of the 5th finger
Increased bone density of end part of the innermost bone of little finger	Ivory epiphysis of the proximal phalanx of the 5th finger
Increased bone density of end part of the innermost bone of pinkie finger	Ivory epiphysis of the proximal phalanx of the 5th finger
Increased bone density of end part of the innermost bone of pinky finger	Ivory epiphysis of the proximal phalanx of the 5th finger
Ivory epiphysis of the proximal phalanx of the little finger	Ivory epiphysis of the proximal phalanx of the 5th finger
Enlarged end part of the innermost bone of little finger	Enlarged epiphysis of the proximal phalanx of the 5th finger
Enlarged end part of the innermost bone of pinkie finger	Enlarged epiphysis of the proximal phalanx of the 5th finger
Enlarged end part of the innermost bone of pinky finger	Enlarged epiphysis of the proximal phalanx of the 5th finger
Small end part of the innermost bone of little finger	Small epiphysis of the proximal phalanx of the 5th finger
Small end part of the innermost bone of pinkie finger	Small epiphysis of the proximal phalanx of the 5th finger
Small end part of the innermost bone of pinky finger	Small epiphysis of the proximal phalanx of the 5th finger
Absent end part of the innermost bone of little finger	Absent epiphysis of the proximal phalanx of the 5th finger
Absent end part of the innermost bone of pinkie finger	Absent epiphysis of the proximal phalanx of the 5th finger
Absent end part of the innermost bone of pinky finger	Absent epiphysis of the proximal phalanx of the 5th finger
Absent/hypoplastic middle phalanx of 5th finger	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent/small middle bone of pinky finger	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent/underdeveloped middle bone of little finger	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent/underdeveloped middle bone of pinkie finger	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent/underdeveloped middle bone of pinky finger	Aplasia/Hypoplasia of the middle phalanx of the 5th finger
Absent middle bone of little finger	Absent middle phalanx of 5th finger
Absent middle bone of pinkie finger	Absent middle phalanx of 5th finger
Absent middle bone of pinky finger	Absent middle phalanx of 5th finger
Aplasia of the middle phalanx of the 5th finger	Absent middle phalanx of 5th finger
Abnormal calcification of the wrist bones	Abnormal calcification of the carpal bones
Carpal calcifications	Abnormal calcification of the carpal bones
Speckled calcifications in end part of the outermost bone of little finger	Stippling of the epiphysis of the distal phalanx of the 5th finger
Speckled calcifications in end part of the outermost bone of pinkie finger	Stippling of the epiphysis of the distal phalanx of the 5th finger
Speckled calcifications in end part of the outermost bone of pinky finger	Stippling of the epiphysis of the distal phalanx of the 5th finger
Fragmentation of end part of the outermost bone of little finger	Fragmentation of the epiphysis of the distal phalanx of the 5th finger
Fragmentation of end part of the outermost bone of pinkie finger	Fragmentation of the epiphysis of the distal phalanx of the 5th finger
Fragmentation of end part of the outermost bone of pinky finger	Fragmentation of the epiphysis of the distal phalanx of the 5th finger
Irregular end part of the outermost bone of little finger	Irregular epiphysis of the distal phalanx of the 5th finger
Irregular end part of the outermost bone of pinkie finger	Irregular epiphysis of the distal phalanx of the 5th finger
Irregular end part of the outermost bone of pinky finger	Irregular epiphysis of the distal phalanx of the 5th finger
Bullet-shaped middle little finger bone	Bullet-shaped middle phalanx of the 5th finger
Bullet-shaped middle pinkie finger bone	Bullet-shaped middle phalanx of the 5th finger
Bullet-shaped middle pinky finger bone	Bullet-shaped middle phalanx of the 5th finger
Broad middle bone of little finger	Broad middle phalanx of the 5th finger
Broad middle bone of pinkie finger	Broad middle phalanx of the 5th finger
Broad middle bone of pinky finger	Broad middle phalanx of the 5th finger
Wide middle phalanx of the 5th finger	Broad middle phalanx of the 5th finger
Triangular end part of the long bone of hand	Triangular epiphyses of the metacarpals
Abnormal bones of 4th finger	Abnormal 4th finger phalanx morphology
Abnormality of the phalanges of the ring finger	Abnormal 4th finger phalanx morphology
Curved middle bone of little finger	Curved middle phalanx of the 5th finger
Curved middle bone of pinkie finger	Curved middle phalanx of the 5th finger
Curved middle bone of pinky finger	Curved middle phalanx of the 5th finger
Abnormality of the end part of the ring finger	Abnormality of the epiphyses of the 4th finger
Uneven increase in bone density in the middle bone of the little finger	Patchy sclerosis of the middle phalanx of the 5th finger
Uneven increase in bone density in the middle bone of the pinkie finger	Patchy sclerosis of the middle phalanx of the 5th finger
Uneven increase in bone density in the middle bone of the pinky finger	Patchy sclerosis of the middle phalanx of the 5th finger
Fifth finger symphalangism	Proximal/middle symphalangism of 5th finger
Fused innermost and middle bones of little finger	Proximal/middle symphalangism of 5th finger
Fused innermost and middle bones of pinkie finger	Proximal/middle symphalangism of 5th finger
Fused innermost and middle bones of pinky finger	Proximal/middle symphalangism of 5th finger
Proximal 5th finger symphalangism	Proximal/middle symphalangism of 5th finger
Proximal fifth finger symphalangism	Proximal/middle symphalangism of 5th finger
Symphalangism of the proximal and middle phalanges of the 5th finger	Proximal/middle symphalangism of 5th finger
Fused middle bones of little finger	Symphalangism of middle phalanx of 5th finger
Fused middle bones of pinkie finger	Symphalangism of middle phalanx of 5th finger
Fused middle bones of pinky finger	Symphalangism of middle phalanx of 5th finger
Displaced little finger	Deviation of the 5th finger
Displaced pinkie finger	Deviation of the 5th finger
Displaced pinky finger	Deviation of the 5th finger
Laterally displaced fifth finger	Deviation of the 5th finger
Triangular shaped middle little finger bone	Triangular shaped middle phalanx of the 5th finger
Triangular shaped middle pinkie finger bone	Triangular shaped middle phalanx of the 5th finger
Triangular shaped middle pinky finger bone	Triangular shaped middle phalanx of the 5th finger
Fifth finger camptodactyly	Joint contracture of the 5th finger
5th finger camptodactyly	Contracture of the proximal interphalangeal joint of the 5th finger
Bracket shaped end part of the outermost little finger bone	Bracket epiphysis of the distal phalanx of the 5th finger
Bracket shaped end part of the outermost pinkie finger bone	Bracket epiphysis of the distal phalanx of the 5th finger
Bracket shaped end part of the outermost pinky finger bone	Bracket epiphysis of the distal phalanx of the 5th finger
Fragmentation of end part of the long bone of hand	Fragmentation of the metacarpal epiphyses
Irregular end part of the long bone of hand	Irregular epiphyses of the metacarpals
Increased bone density of end part of the long bone of hands	Ivory epiphyses of the metacarpals
Absent/small innermost little finger bone	Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
Absent/small innermost pinkie finger bone	Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
Absent/small innermost pinky finger bone	Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
Absent/underdeveloped innermost pinky finger bone	Aplasia/Hypoplasia of the proximal phalanx of the 5th finger
Accessory proximal metacarpal ossification centers	Pseudoepiphyses of the metacarpals
Metacarpal pseudoepiphyses	Pseudoepiphyses of the metacarpals
Small end part of the long bone of hand	Small epiphyses of the metacarpals
Speckled calcifications in end part of the long bone of hand	Epiphyseal stippling of the metacarpals
Stippling of the epiphyses of the metacarpals	Epiphyseal stippling of the metacarpals
Absent end part of the long bone of hand	Absent metacarpal epiphyses
Absent metacarpal ossification center	Absent metacarpal epiphyses
Bracket shaped end part of the innermost bone of the little finger	Bracket epiphysis of the proximal phalanx of the 5th finger
Bracket shaped end part of the innermost bone of the pinkie finger	Bracket epiphysis of the proximal phalanx of the 5th finger
Bracket shaped end part of the innermost bone of the pinky finger	Bracket epiphysis of the proximal phalanx of the 5th finger
Abnormality of end part of the innermost bone of the little finger	Abnormality of the epiphysis of the distal phalanx of the 5th finger
Abnormality of end part of the innermost bone of the pinkie finger	Abnormality of the epiphysis of the distal phalanx of the 5th finger
Abnormality of end part of the innermost bone of the pinky finger	Abnormality of the epiphysis of the distal phalanx of the 5th finger
Abnormality of the epiphysis of the terminal phalanx of the little finger	Abnormality of the epiphysis of the distal phalanx of the 5th finger
Irregular end part of the innermost little finger bone	Irregular epiphysis of the proximal phalanx of the 5th finger
Irregular end part of the innermost pinkie finger bone	Irregular epiphysis of the proximal phalanx of the 5th finger
Irregular end part of the innermost pinky finger bone	Irregular epiphysis of the proximal phalanx of the 5th finger
Speckled calcifications in end part of the innnermost bone of the little finger	Stippling of the epiphysis of the proximal phalanx of the 5th finger
Speckled calcifications in end part of the innnermost bone of the pinkie finger	Stippling of the epiphysis of the proximal phalanx of the 5th finger
Speckled calcifications in end part of the innnermost bone of the pinky finger	Stippling of the epiphysis of the proximal phalanx of the 5th finger
Fragmentation of end part of the innermost bone of the little finger	Fragmentation of the epiphysis of the proximal phalanx of the 5th finger
Fragmentation of end part of the innermost bone of the pinkie finger	Fragmentation of the epiphysis of the proximal phalanx of the 5th finger
Fragmentation of end part of the innermost bone of the pinky finger	Fragmentation of the epiphysis of the proximal phalanx of the 5th finger
Absent end part of the middle bone of the little finger	Absent epiphysis of the middle phalanx of the 5th finger
Absent end part of the middle bone of the pinkie finger	Absent epiphysis of the middle phalanx of the 5th finger
Absent end part of the middle bone of the pinky finger	Absent epiphysis of the middle phalanx of the 5th finger
Bracket shaped end part of the middle bone of the little finger	Bracket epiphysis of the middle phalanx of the 5th finger
Bracket shaped end part of the middle bone of the pinkie finger	Bracket epiphysis of the middle phalanx of the 5th finger
Bracket shaped end part of the middle bone of the pinky finger	Bracket epiphysis of the middle phalanx of the 5th finger
Cone-shaped end part of the middle bone of the little finger	Cone-shaped epiphysis of the middle phalanx of the 5th finger
Cone-shaped end part of the middle bone of the pinkie finger	Cone-shaped epiphysis of the middle phalanx of the 5th finger
Cone-shaped end part of the middle bone of the pinky finger	Cone-shaped epiphysis of the middle phalanx of the 5th finger
Enlarged end part of the middle bone of the little finger	Enlarged epiphysis of the middle phalanx of the 5th finger
Enlarged end part of the middle bone of the pinkie finger	Enlarged epiphysis of the middle phalanx of the 5th finger
Enlarged end part of the middle bone of the pinky finger	Enlarged epiphysis of the middle phalanx of the 5th finger
Fragmentation of end part of the middle bone of the little finger	Fragmentation of the epiphysis of the middle phalanx of the 5th finger
Fragmentation of end part of the middle bone of the pinkie finger	Fragmentation of the epiphysis of the middle phalanx of the 5th finger
Fragmentation of end part of the middle bone of the pinky finger	Fragmentation of the epiphysis of the middle phalanx of the 5th finger
Irregular end part of the middle bone of the little finger	Irregular epiphysis of the middle phalanx of the 5th finger
Irregular end part of the middle bone of the pinkie finger	Irregular epiphysis of the middle phalanx of the 5th finger
Irregular end part of the middle bone of the pinky finger	Irregular epiphysis of the middle phalanx of the 5th finger
Increased bone density of end part of the middle bone of little finger	Ivory epiphysis of the middle phalanx of the 5th finger
Increased bone density of end part of the middle bone of pinkie finger	Ivory epiphysis of the middle phalanx of the 5th finger
Increased bone density of end part of the middle bone of pinky finger	Ivory epiphysis of the middle phalanx of the 5th finger
Small end part of the middle bone of the little finger	Small epiphysis of the middle phalanx of the 5th finger
Small end part of the middle bone of the pinkie finger	Small epiphysis of the middle phalanx of the 5th finger
Small end part of the middle bone of the pinky finger	Small epiphysis of the middle phalanx of the 5th finger
Speckled calcifications in end part of the middle bone of the little finger	Stippling of the epiphysis of the middle phalanx of the 5th finger
Speckled calcifications in end part of the middle bone of the pinkie finger	Stippling of the epiphysis of the middle phalanx of the 5th finger
Speckled calcifications in end part of the middle bone of the pinky finger	Stippling of the epiphysis of the middle phalanx of the 5th finger
Delta-shaped epiphysis of the middle phalanx of the 5th finger	Triangular epiphysis of the middle phalanx of the 5th finger
Triangular end part of the middle bone of the little finger	Triangular epiphysis of the middle phalanx of the 5th finger
Triangular end part of the middle bone of the pinkie finger	Triangular epiphysis of the middle phalanx of the 5th finger
Triangular end part of the middle bone of the pinky finger	Triangular epiphysis of the middle phalanx of the 5th finger
Absent end part of the middle bone of the ring finger	Absent epiphysis of the middle phalanx of the 4th finger
Bracket shaped end part of the middle bone of the ring finger	Bracket epiphysis of the middle phalanx of the 4th finger
Cone-shaped end part of the middle bone of the ring finger	Cone-shaped epiphysis of the middle phalanx of the 4th finger
Enlarged end part of the middle bone of the ring finger	Enlarged epiphysis of the middle phalanx of the 4th finger
Fragmentation of end part of the middle bone of the ring finger	Fragmentation of the epiphysis of the middle phalanx of the 4th finger
Irregular end part of the middle bone of the ring finger	Irregular epiphysis of the middle phalanx of the 4th finger
Increased bone density of end part of the middle ring finger bone	Ivory epiphysis of the middle phalanx of the 4th finger
Small end part of the middle bone of the ring finger	Small epiphysis of the middle phalanx of the 4th finger
Speckled calcifications in end part of the middle bone of the ring finger	Stippling of the epiphysis of the middle phalanx of the 4th finger
Delta-shaped epiphysis of the middle phalanx of the 4th finger	Triangular epiphysis of the middle phalanx of the 4th finger
Triangular end part of the middle bone of the ring finger	Triangular epiphysis of the middle phalanx of the 4th finger
Absent innermost bone of little finger	Aplasia of the proximal phalanx of the 5th finger
Absent innermost bone of pinkie finger	Aplasia of the proximal phalanx of the 5th finger
Absent innermost bone of pinky finger	Aplasia of the proximal phalanx of the 5th finger
Hypoplastic/small proximal phalanx of the 5th finger	Short proximal phalanx of the 5th finger
Short innermost little finger bone	Short proximal phalanx of the 5th finger
Short innermost pinkie finger bone	Short proximal phalanx of the 5th finger
Short innermost pinky finger bone	Short proximal phalanx of the 5th finger
Short proximal phalanx of the fifth finger	Short proximal phalanx of the 5th finger
Broad innermost little finger bone	Broad proximal phalanx of the 5th finger
Broad innermost pinkie finger bone	Broad proximal phalanx of the 5th finger
Broad innermost pinky finger bone	Broad proximal phalanx of the 5th finger
Wide proximal phalanx of the 5th finger	Broad proximal phalanx of the 5th finger
Bullet-shaped innermost little finger bone	Bullet-shaped proximal phalanx of the 5th finger
