HPO name	Synonyms
Aplasia/Hypoplasia of the diaphragm	Absent/small diaprhagm, Absent/underdeveloped diaprhagm
Ebstein anomaly of the tricuspid valve	Ebstein's anomaly, Ebstein's anomaly of the tricuspid valve, Ebstein's malformation
Scapular aplasia	Absent scapula, Absent shoulder blade
Aplasia/Hypoplasia of the abdominal wall musculature	Absent/small abdominal wall muscles, Absent/underdeveloped abdominal wall muscles
Abnormality of the 2nd toe	
Abnormality of the 3rd toe	Abnormality of the 3rd toe
Abnormality of the 4th toe	Abnormality of the 4th toe
Abnormality of the 5th toe	Abnormality of the little toe, Abnormality of the pinkie toe, Abnormality of the pinky toe
Abnormality of the epiphyses of the 2nd toe	Abnormality of the end part of the 2nd toe bone
Abnormality of phalanx of the 2nd toe	Abnormality of the 2nd toe bone
Aplasia/Hypoplasia of the 2nd toe	Absent/small 2nd toe, Absent/underdeveloped 2nd toe
Deviation of the 2nd toe	Displacement of the 2nd toe
Flexion contracture of the 2nd toe	Joint contractures of the 2nd toe
Polydactyly affecting the 2nd toe	
Abnormality of the epiphyses of the 3rd toe	Abnormality of the end part of the 3rd toe bone
Abnormality of the phalanges of the 3rd toe	Abnormality of the bones of the 3rd toe
Aplasia/Hypoplasia of the 3rd toe	Absent/hypoplastic third toe, Absent/small 3rd toe, Absent/underdeveloped 3rd toe
Deviation of the 3rd toe	Displacement of the 3rd toe
Flexion contracture of 3rd toe	Joint contractures of the 3rd toe
Polydactyly affecting the 3rd toe	
Abnormality of the epiphyses of the 4th toe	Abnormality of the end part of the 4th toe bone
Abnormality of the phalanges of the 4th toe	
Aplasia/Hypoplasia of the 4th toe	Absent/small 4th toe, Absent/underdeveloped 4th toe
Deviation of the 4th toe	Displacement of the 4th toe
Flexion contracture of the 4th toe	Joint contractures of the 4th toe
Polydactyly affecting the 4th toe	
Abnormality of the epiphyses of the 5th toe	Abnormality of the end part of the little toe bone, Abnormality of the end part of the pinkie toe bone, Abnormality of the end part of the pinky toe bone
Abnormality of the phalanges of the 5th toe	Abnormality of the little toe bones, Abnormality of the pinkie toe bones, Abnormality of the pinky toe bones
Aplasia/Hypoplasia of the 5th toe	Absent/small little toe, Absent/small pinkie toe, Absent/small pinky toe, Absent/underdeveloped pinky toe
Deviation of the 5th toe	Displacement of the 5th toe, Displacement of the little toe, Displacement of the pinkie toe, Displacement of the pinky toe
Flexion contracture of the 5th toe	Joint contractures of the 5th toe
Aplasia/Hypoplasia of the phalanges of the 2nd toe	Absent/small bones of 2nd toe, Absent/underdeveloped bones of 2nd toe
Broad phalanges of the 2nd toe	Broad bones of the 2nd toe
Bullet-shaped 2nd toe phalanx	Bullet-shaped bones of the 2nd toe, Bullet-shaped phalanges of the 2nd toe
Curved 2nd toe phalanx	Curved bones of the 2nd toe, Curved phalanges of the 2nd toe
Osteolytic defects of the phalanges of the 2nd toe	
Patchy sclerosis of 2nd toe phalanx	Patchy sclerosis of the phalanges of the 2nd toe, Uneven increase in bone density in 2nd toe bone
Symphalangism affecting the phalanges of the 2nd toe	Fused bones of 2nd toe
Triangular shaped phalanges of the 2nd toe	Triangular shaped bone of 2nd toe, Triangular shaped bone of second toe
Duplication of the phalanges of the 2nd toe	Duplication of the bones of the 2nd toe, Partial/complete duplication of the phalanges of the 2nd toe
Abnormality of the distal phalanx of the 2nd toe	Abnormality of the outermost bone of the 2nd toe
Abnormality of the middle phalanx of the 2nd toe	Abnormality of the middle bone of the 2nd toe
Abnormality of the proximal phalanx of the 2nd toe	Abnormality of the innermost bone of the 2nd toe
Aplasia/Hypoplasia of the phalanges of the 3rd toe	Absent/small bones of 3rd toe, Absent/underdeveloped bones of 3rd toe
Broad phalanges of the 3rd toe	Wide bones of 3rd toe
Bullet-shaped 3rd toe phalanx	Bullet-shaped bones of 3rd toe, Bullet-shaped phalanges of the 3rd toe
Curved 3rd toe phalanx	Curved bones of 3rd toe, Curved phalanges of the 3rd toe
Osteolytic defects of the phalanges of the 3rd toe	
Patchy sclerosis of 3rd toe phalanx	Patchy sclerosis of the phalanges of the 3rd toe, Uneven increase in bone density in 3rd toe bone
Symphalangism affecting the phalanges of the 3rd toe	Fused bones of 3rd toe
Triangular shaped phalanges of the 3rd toe	Triangular shaped 3rd toe bones
Duplication of phalanx of the 3rd toe	Duplication of 3rd toe bone, Duplication of phalanx of the third toe, Partial/complete duplication of the phalanges of the 3rd toe
Abnormality of the distal phalanx of the 3rd toe	Abnormality of the outermost bone of the 3rd toe
Abnormality of the middle phalanx of the 3rd toe	Abnormality of the middle bone of 3rd toe
Abnormality of the proximal phalanx of the 3rd toe	Abnormality of the innermost bone of 3rd toe
Aplasia/Hypoplasia of the phalanges of the 4th toe	Absent/small bones of 4th toe, Absent/underdeveloped bones of 4th toe
Broad phalanges of the 4th toe	Broad bones of the 4th toe
Bullet-shaped 4th toe phalanx	Bullet-shaped bones of the 4th toe, Bullet-shaped phalanges of the 4th toe
Curved 4th toe phalanx	Curved bones of 4th toe, Curved phalanges of the 4th toe
Osteolytic defects of the phalanges of the 4th toe	
Patchy sclerosis of 4th toe phalanx	Patchy sclerosis of the phalanges of the 4th toe, Uneven increase in bone density in 4th toe bone
Symphalangism affecting the phalanges of the 4th toe	Fused bones of 4th toe
Triangular shaped phalanges of the 4th toe	Triangular shaped bones of 4th toe
Duplication of phalanx of the 4th toe	Duplication of 4th toe bone, Duplication of phalanx of the fourth toe, Partial/complete duplication of the phalanges of the 4th toe
Abnormality of the distal phalanx of the 4th toe	Abnormality of the outermost 4th toe bone
Abnormality of the middle phalanx of the 4th toe	Abnormality of middle 4th toe bone
Abnormality of the proximal phalanx of the 4th toe	Abnormal innermost 4th toe bone
Aplasia/Hypoplasia of the phalanges of the 5th toe	Absent/small little toe bones, Absent/small pinkie toe bones, Absent/small pinky toe bones, Absent/underdeveloped pinky toe bones
Broad phalanges of the 5th toe	Broad bones of the little toe, Broad bones of the pinkie toe, Broad bones of the pinky toe
Bullet-shaped 5th toe phalanx	Bullet-shaped bones of the little toe, Bullet-shaped bones of the pinkie toe, Bullet-shaped bones of the pinky toe, Bullet-shaped phalanges of the 5th toe
Curved 5th toe phalanx	Curved little toe bones, Curved phalanges of the 5th toe, Curved pinkie toe bones, Curved pinky toe bones
Osteolytic defects of the phalanges of the 5th toe	
Patchy sclerosis of 5th toe phalanx	Patchy sclerosis of the phalanges of the 5th toe, Uneven increase in bone density in little toe bone, Uneven increase in bone density in pinkie toe bone, Uneven increase in bone density in pinky toe bone
Symphalangism affecting the phalanges of the 5th toe	Fused bones in the little toe, Fused bones in the pinkie toe, Fused bones in the pinky toe
Triangular shaped phalanges of the 5th toe	Triangular shaped little toe bone, Triangular shaped pinkie toe bone, Triangular shaped pinky toe bone
Duplication of the phalanges of the 5th toe	Duplication of the bones of the little toe, Duplication of the bones of the pinkie toe, Duplication of the bones of the pinky toe, Duplication of the phalanges of the fifth toe, Partial/complete duplication of the phalanges of the 5th toe
Abnormality of the distal phalanx of the 5th toe	Abnormality of the outermost bone of the little toe, Abnormality of the outermost bone of the pinkie toe, Abnormality of the outermost bone of the pinky toe
Abnormality of the middle phalanx of the 5th toe	Abnormality of the middle bone of the little toe, Abnormality of the middle bone of the pinkie toe, Abnormality of the middle bone of the pinky toe
Abnormality of the proximal phalanx of the 5th toe	Abnormality of the innermost bone of the little toe, Abnormality of the innermost bone of the pinkie toe, Abnormality of the innermost bone of the pinky toe
Aplasia/hypoplasia of the proximal phalanx of the 2nd toe	Absent/small innermost 2nd toe bone, Absent/underdeveloped innermost 2nd toe bone
Broad proximal phalanx of the 2nd toe	Broad innermost bone of 2nd toe
Bullet-shaped proximal phalanx of the 2nd toe	Bullet-shaped innermost bone of 2nd toe
Curved proximal phalanx of the 2nd toe	Curved innermost bone of 2nd toe
Osteolytic defects of the proximal phalanx of the 2nd toe	
Patchy sclerosis of the proximal phalanx of the 2nd toe	Uneven increase in bone density in the innermost bone of the 2nd toe
Symphalangism affecting the proximal phalanx of the 2nd toe	Fused innermost bone of the 2nd toe
Triangular shaped proximal phalanx of the 2nd toe	Triangular shaped innermost 2nd toe bone
Duplication of the proximal phalanx of the 2nd toe	Duplication of innermost 2nd toe bone, Duplication of the proximal phalanx of the second toe, Partial/complete duplication of the proximal phalanx of the 2nd toe
Aplasia/Hypoplasia of the middle phalanx of the 2nd toe	Absent/small middle bone of 2nd toe, Absent/underdeveloped middle bone of 2nd toe
Broad middle phalanx of the 2nd toe	Broad middle bone of 2nd toe
Bullet-shaped middle phalanx of the 2nd toe	Bullet-shaped middle bone of 2nd toe
Curved middle phalanx of the 2nd toe	Curved middle bone of 2nd toe
Osteolytic defects of the middle phalanx of the 2nd toe	
Patchy sclerosis of the middle phalanx of the 2nd toe	Uneven increase in bone density in the middle bone of the 2nd toe
Symphalangism affecting the middle phalanx of the 2nd toe	Fused middle bone of 2nd toe
Triangular shaped middle phalanx of the 2nd toe	Triangular shaped middle bone of 2nd toe
Duplication of the middle phalanx of the 2nd toe	Duplication of middle bone of 2nd toe, Partial/complete duplication of the middle phalanx of the 2nd toe
Aplasia/Hypoplasia of the distal phalanx of the 2nd toe	Absent/small outermost 2nd toe bone, Absent/underdeveloped outermost 2nd toe bone
Broad distal phalanx of the 2nd toe	Broad outermost bone of the 2nd toe, Wide outermost bone of the 2nd toe
Bullet-shaped distal phalanx of the 2nd toe	Bullet-shaped outermost bone of the 2nd toe
Curved distal phalanx of the 2nd toe	Curved outermost bone of the 2nd toe
Osteolytic defects of the distal phalanx of the 2nd toe	
Patchy sclerosis of the distal phalanx of the 2nd toe	Uneven increase in bone density in the outermost bone of the 2nd toe
Symphalangism affecting the distal phalanx of the 2nd toe	Fused outermost bone of the 2nd toe
Triangular shaped distal phalanx of the 2nd toe	Triangular shaped outermost 2nd toe bone
Duplication of the distal phalanx of the 2nd toe	Duplication of the outermost bone of the 2nd toe, Partial/complete duplication of the distal phalanx of the 2nd toe
Complete duplication of the proximal phalanx of the 2nd toe	Complete duplication of the innermost 2nd toe bone, Complete duplication of the proximal phalanx of the second toe
Partial duplication of the proximal phalanx of the 2nd toe	Partial duplication of the innermost 2nd toe bone, Partial duplication of the proximal phalanx of the second toe
Complete duplication of the distal phalanx of the 2nd toe	Complete duplication of the outermost bone of the 2nd toe
Partial duplication of the distal phalanx of the 2nd toe	Partial duplication of the outermost bone of the 2nd toe
Complete duplication of the middle phalanx of the 2nd toe	Complete duplication of the middle bone of the 2nd toe
Partial duplication of the middle phalanx of the 2nd toe	Partial duplication of the middle bone of the 2nd toe
Partial duplication of phalanx of the 2nd toe	Partial duplication of 2nd toe bone
Complete duplication of the phalanges of the 2nd toe	Complete duplication of the 2nd toe bones
Aplasia of the phalanges of the 2nd toe	Absent 2nd toe bones
Short phalanx of the 2nd toe	Hypoplastic/small phalanges of the 2nd toe, Short 2nd toe bone, Short phalanx of the second toe
Absent distal phalanx of the 2nd toe	Absent distal phalanx of the second toe, Absent outermost bone of the 2nd toe, Aplasia of the distal phalanx of the 2nd toe
Short distal phalanx of the 2nd toe	Hypoplastic/small distal phalanx of the 2nd toe, Short distal phalanx of the second toe, Short outermost bone of the 2nd toe
Aplasia of the middle phalanx of the 2nd toe	Absent middle bone of 2nd toe
Short middle phalanx of the 2nd toe	Hypoplastic/small middle phalanx of the 2nd toe, Short middle 2nd toe bone, Short middle phalanx of the second toe
Aplasia of the proximal phalanx of the 2nd toe	Absent innermost 2nd toe bone
Short proximal phalanx of the 2nd toe	Hypoplastic/small proximal phalanx of the 2nd toe, Short innermost 2nd toe bone, Short proximal phalanx of the second toe
Abnormal ventricular septum morphology	Abnormal interventricular septum morphology, Abnormality of the ventricular septum, Ventricular septum abnormality
Ectopic accesory toe-like appendage	
Ectopic accessory finger-like appendage	
Polydactyly	More than five fingers or toes on hands or feet
Bifid femur	Notched thighbone, Split thighbone
Pulmonary insufficiency	Pulmonary incompetence, Puolmonary valve insufficiency
Primum atrial septal defect	Atrial septal defect, primum type, Ostium primum atrial septal defect, Primum atrioventricular canal defect, Septum primum defect
Tricuspid stenosis	
Anal fistula	Fistula in ano
Colonic atresia	Atresia of the large intestine, Large intestinal atresia
Esophageal stenosis	Narrowing of the esophagus
Aplasia/Hypoplasia of the spleen	Absent/small spleen, Absent/underdeveloped spleen
Ectopia of the spleen	Abnormal spleen location, Ectopic spleen
Pelvic bone asymmetry	Asymmetric pelvis, Pelvic asymmetry
Acetabular spurs	
Steep acetabular roof	
Abnormality of the greater sacrosciatic notch	Abnormality of greater sciatic notch
Widening of the sacrosciatic notch	
Female pseudohermaphroditism	
True hermaphroditism	Testicular and ovarian tissue present
Abnormality of the female genitalia	
Abnormality of the male genitalia	Abnormal male genitals, Abnormality of the male genitalia
Aplasia/Hypoplasia of the ovary	Absent/small ovary, Absent/underdeveloped ovary
Aplasia of the ovary	Absent ovary, Aplasia of the ovaries, Bilateral absent ovaries
Streak ovary	
Precocious puberty in females	
Aplasia/Hypoplasia of the testes	Absent/small testes, Absent/underdeveloped testes
Absent testis	Absence of palpable testicules, Absent testes, Aplasia of the testes
Supernumerary testes	Extra testes, Polyorchidism
Oligosacchariduria	
Abnormal circulating porphyrin concentration	
Porphyrinuria	
Bladder stones	
Cloacal exstrophy	
Aplasia/Hypoplasia of the bladder	Absent/small bladder, Absent/underdeveloped bladder
Aplasia of the bladder	Absent bladder
Abnormality of the urachus	
Patent urachus	Persistent urachus
Urethral fistula	
Urethral valve	
Acromelia of the upper limbs	
Amniotic constriction rings of arms	
Hypertrophy of the upper limb	Increased size of upper limb
Hyperextensibility at elbow	
Abnormality of the hypothenar eminence	
Small hypothenar eminence	Hypoplasia of the hypothenar eminence, Hypothenar hypoplasia
Aplasia/Hypoplasia of the palmar creases	Absent/small palm crease, Absent/underdeveloped palm crease
Absent palmar crease	Absence of the palmar creases, Absent palm lines, Aplasia of the palmar creases
Abnormality of the palmar creases	Abnormality of the palm lines
Digital constriction ring	Amniotic constriction rings of digits
Osseous finger syndactyly	Osseous syndactyly of the fingers
Long metacarpals	Elongated long bone of hand, Increased length of metacarpals
Acromelia of the lower limbs	
Amniotic constriction rings of legs	
Hypertrophy of the lower limb	
Sirenomelia	Sympodia
Bipartite patella	
Patellar subluxation	Partial knee cap dislocation, Subluxation of patella
Hyperextensibility of the knee	
Limitation of knee mobility	Limitation of knee mobility, Limited knee movement
Fibular bowing	Bowed calf bone
Fibular duplication	Duplicated calf bone
Increased length of the tibia	Increased length of shankbone, Increased length of shinbone
Limitation of movement at ankles	
Abnormal plantar dermatoglyphics	Abnormal dermatoglyphics on feet, Abnormal prints on feet
Foot asymmetry	
Metatarsus valgus	
Aplasia of the tarsal bones	Absent ankle bone, Absent tarsals
Hypermobility of toe joints	
Long toe	Increased length of toes, Long toe, Long toes
Adrenal calcification	
Pituitary calcification	
Hyperpituitarism	
Aplasia/Hypoplasia of the thymus	Absent/small thymus, Absent/underdeveloped thymus, Thymic hypoplasia or aplasia
Thymus hyperplasia	Enlarged thymus, Thymic hyperplasia
Ectopic thymus tissue	Abnormal thymus position
Thyroglossal cyst	Thyroglossal duct cyst
Increased fetal movement	Fetal hyperkinesia
Gait apraxia	
Dyslexia	Reading disability
Alexia	Text blindness, Word blindness
Agnosia	
Finger agnosia	
Dysgraphia	
Astereognosia	Astereognosis, Somatosensory agnosia
Prosopagnosia	Face blindness, Facial agnosia
Echolalia	Echoing another person's speech, Echologia, Echophrasia, Repeated speech
Palatal myoclonus	
Spinal myoclonus	
Paroxysmal vertigo	
Spasmus nutans	
Transient global amnesia	
Sleep apnea	Pauses in breathing while sleeping, Sleep apnoea
Central sleep apnea	Central sleep apnoea
Wide cranial sutures	Broad cranial sutures, Large cranial suture, open cranial sutures, Persistent open cranial sutures, Widened cranial sutures
Small sella turcica	Hypoplasia of hypophseal fossa, Hypoplasia of pituitary fossa, Hypoplasia of sella turcica, Small hypophyseal fossa, Small pituitary fossa
Thin calvarium	Thin cranial bone, Thin skull bone
Advanced pneumatization of cranial sinuses	
Cutis gyrata of scalp	Cutis verticis gyrata, Furrows in thickened skin on top of scalp, Scalp folds, Scalp furrows, Thickened folds on top of scalp, Thickening of the scalp
Vestibular nystagmus	
Opsoclonus	
Vertical nystagmus	
Downbeat nystagmus	
Muscle fibrillation	Twitching
Muscle flaccidity	
Percussion myotonia	Transient swelling of muscle induced by percussion
Weakness due to upper motor neuron dysfunction	Paralysis due to lesions of the principle motor tracts
Paraplegia	Leg paralysis
Paraplegia/paraparesis	
Oculogyric crisis	
Cutaneous finger syndactyly	Cutaneous syndactyly of fingers, Cutaneous syndactyly of hands, Webbed fingers, Webbed skin of fingers
Overlapping fingers	
Abnormality of the clivus	
Vertical clivus	
Undulate clavicles	Wavy clavicles, Wavy collarbone
Undulate ribs	Wavy ribs
Keloids	
Bifid epiglottis	
Aplasia/Hypoplasia of the Epiglottis	
Hamartoma	
Y-shaped metatarsals	Y-shaped long bone of foot
Hamartoma of the eye	
Elevated 7-dehydrocholesterol	Elevated levels of cholesta-5,7-dien-3beta-ol
Low maternal serum alpha-fetoprotein	Low maternal serum alpha-fetoprotein
Elevated levels of phytanic acid	Elevated levels of phytanic acid
Abnormality of the epiphysis of the femoral head	Abnormality of the end part of the innermost thighbone, Abnormality of the proximal femoral epiphysis
Dysplasia of the femoral head	Abnormality of femoral head development, Dysplastic femoral head
Intracranial cystic lesion	Cerebral cystic malformation
Absent epiphyses	Absent end part of bone
Bracket epiphyses	Bracket shaped end part of long bone
Cone-shaped epiphysis	Cone-shaped end part of bone, Cone-shaped epiphyses
Enlarged epiphyses	Large end part of bone, Large epiphyses, Widened, distorted epiphyses
Irregular epiphyses	Irregular end part of long bone
Ivory epiphyses	Epiphyseal sclerosis, Increased bone density in end part of bone
Pseudoepiphyses	
Small epiphyses	Small end part of bone
Triangular epiphyses	Triangular end part of bone
Premature epimetaphyseal fusion	Premature closure of epiphyses
Abnormality of the distal femoral epiphysis	Abnormality of the end part of the outermost thighbone
Abnormality of the proximal tibial epiphysis	Abnormality of the end part of innermost shankbone, Abnormality of the end part of innermost shinbone
Abnormality of the distal tibial epiphysis	Abnormality of the end part of outermost shankbone, Abnormality of the end part of outermost shinbone
Abnormality of fibular epiphyses	Abnormality of the end part of the calf bone
Abnormality of the proximal fibular epiphysis	Abnormality of the innermost end part of calf bone
Abnormality of the distal fibular epiphysis	Abnormality of the outermost end part of calf bone
Abnormality of the proximal radial epiphysis	
Abnormality of the distal radial epiphysis	
Abnormality of the proximal humeral epiphysis	Abnormality of the end part of the innermost long bone in upper arm
Abnormality of the distal humeral epiphysis	Abnormality of the end part of the outermost long bone in upper arm
Abnormality of the distal ulnar epiphysis	
Abnormality of the proximal ulnar epiphysis	
Type 2 muscle fiber predominance	Type II muscle fiber predominance
Odontogenic keratocysts of the jaw	Keratocystic odontogenic tumor, Keratocysts of the jaw
Cyst of the eyelid	Cyst of the eyelid, Eyelid bump, Eyelid mass, Lesion of the eyelid
Chalazion	Meibomian gland lipogranuloma
Hordeolum	Red bump on eyelid, Stye of eyelid
Hordeolum externum	
Hordeolum internum	Red bump on inner eyelid, Stye of inner eyelid
Skin tags	Acrochorda
Palmar pits	
Plantar pits	
Fibroma	
Angiofibromas	
Lung fibroma	
Cardiac fibroma	
Ovarian fibroma	
Fibroadenoma of the breast	Breast fibroadenoma, Breast fibroadenomas
Malar prominence	Cheekbone prominence, Hyperplasia of malar bones, Malar excess, Malar hyperplasia, Prominent malar region
Cutaneous syndactyly of toes	Cutaneous syndactyly of feet, soft tissue syndactyly of toes, Webbed skin of toes
Neoplasm of the skeletal system	Bone neoplasm, Neoplasia of the skeletal system, Skeletal tumor
Aplastic/hypoplastic toenail	Absent/small toenails, Absent/underdeveloped toenails, Aplastic/hypoplastic toenails, Hypoplastic-absent toenails
Anterior pituitary dysgenesis	Adenohypophysis
Anterior pituitary agenesis	Absent pituitary gland, Aplasia of the pituitary gland
Anterior pituitary hypoplasia	Hypoplasia of the pituitary gland, Underdeveloped pituitary gland
Facial palsy	Bell's palsy, Cranial nerve VII palsy, Facial muscle weakness of muscles innervated by CN VII, Facial nerve palsy, Facial nerve paralysis, Facial palsy, unilateral or bilateral, Seventh cranial nerve palsy, VII th cranial nerve palsy
Abnormal morphology of the cortex of the humerus	
Abnormality of metatarsal epiphysis	Abnormality of end part of long bone of foot, Abnormality of the epiphyses of the metatarsals
Abnormality of the epiphyses of the feet	Abnormality of the end part of the foot bone
Total anosmia	
Partial anosmia	
Total hyposmia	
Partial hyposmia	
Schizencephaly	
Conjunctival amyloidosis	
Elevated alkaline phosphatase of hepatic origin	
Elevated alkaline phosphatase of bone origin	Elevated alkaline phosphatase of bone origin, Increased serum bone-specific alkaline phosphatase
Abnormality of the nasal cavity	
Abnormality of the midnasal cavity	
Midnasal atresia	
Midnasal stenosis	Midnasal atresia or stenosis
Aplasia of the distal phalanges of the toes	Absent outermost bone of the toes
Cervical spine instability	
Abnormal elasticity of skin	
Dermal translucency	Translucent skin
Flat nasal alae	Depressed nasal alae, Flat nasal alar cartilage
Hypoplasia of the premaxilla	Decreased size of premaxilla, Decreased size of the primary palate bone, Hypoplasia of the intermaxillary bone, Hypoplasia of the primary palate bone, Premaxillary bone deficiency, Premaxillary bone retrusion, Premaxillary retrusion, Premaxillary underdevelopment, Primary palate bone deficiency, Primary palate bone retrusion, Small premaxilla, Small primary palate bone, Underdevelopment of premaxilla, Underdevelopment of the premaxilla, Underdevelopment of the primary palate bone
Abnormal meningeal morphology	Abnormality of the meninges
Abnormal dura mater morphology	Abnormality of the dura mater
Abnormality of the falx cerebri	Abnormality of the cerebral falx
Aplasia of the falx cerebri	Absent cerebral falx
Epiphyseal stippling	Epiphyseal punctate calcifications, Speckled calcifications in end part of bone, Stippled epiphyses, Stippling of the epiphyses
Abnormal epiphyseal ossification	Abnormal maturation of the end part of a bone, Abnormality of the mineralisation or ossification of the epiphyses
Patchy reduction of bone mineral density	
Patchy changes of bone mineral density	
Patchy variation in bone mineral density	Patchy increased and decreased bone mineral density
Abnormal hand bone ossification	Abnormal maturation of the hand bones, Abnormal ossification of hand bones, Abnormality of the mineralisation and ossification of bones of the hand
Absence of the third cerebral ventricle	
Abnormality of the diencephalon	
Abnormality of thalamus morphology	Abnormal shape of thalamus, Abnormality of the thalamus
Fusion of the left and right thalami	Fused thalami, Fusion of thamali, Undivided thalami
Bilateral coxa valga	
Hypoplasia of the anterior nasal spine	Decreased length of anterior nasal spine, Decreased projection of anterior nasal spine, Decreased size of anterior nasal spine, Deficiency of anterior nasal spine, Hypotrophic anterior nasal spine, Small anterior nasal spine, Underdevelopment of anterior nasal spine
Aplasia of the maxilla	Absence of the maxilla, Absence of upper jaw bones, Agenesis of the maxilla, Aplasia of the upper jaw bones, Failure of development of maxilla, Failure of development of upper jaw bones, Missing upper jaw bones
Abnormality of the zygomatic bone	Abnormality of the cheekbone, Anomaly of the zygomatic bone, Deformity of the cheekbone, Deformity of the zygomatic bone, Malformation of the zygomatic bone
Hypoplasia of the zygomatic bone	Cheekbone underdevelopment, Decreased size of cheekbone, Decreased size of zygomatic bone, Depressed cheekbone, Depressed zygomatic bone, Flattening of the zygomatic bone, Hypoplasia of cheekbone, Hypotrophic cheekbone, Hypotrophic zygomatic bone, Hypotrophy of the cheekbone, Hypotrophy of the zygomatic bone, Small cheekbone, Small malar bone, Small zygomatic bone, Underdevelopment of cheekbone, Underdevelopment of zygomatic bone
Abnormality of the third metatarsal bone	Abnormality of the 3rd long bone of foot
Abnormality of the curvature of the vertebral column	Abnormal curve of the backbone, Abnormal curve of the spine
Abnormal foot bone ossification	Abnormal maturation of foot bones, Abnormal ossification involving bones of the feet, Abnormality of the mineralisation and ossification of bones of the feet
Mechanical ileus	
Enuresis nocturna	Nocturnal enuresis
Enuresis diurna	
Elevated tissue non-specific alkaline phosphatase	Elevated alkaline phosphatase, liver/bone/kidney
Elevated alkaline phosphatase of renal origin	
Elevated intestinal alkaline phosphatase	
Elevated placental alkaline phosphatase	
Low tissue non-specific alkaline phosphatase	
Low alkaline phosphatase of bone origin	
Low alkaline phosphatase of renal origin	
Low alkaline phosphatase of hepatic origin	
Low intestinal alkaline phosphatase	
Low placental alkaline phosphatase	
Mirror image polydactyly	Mirror image duplication of digits
Mirror image hand polydactyly	Mirror image dupliction of fingers
Mirror image foot polydactyly	Mirror image dupliction of toes
2-5 finger syndactyly	Webbed 2nd-5th fingers, Webbed index, middle and little finger, Webbed index, middle and pinkie finger, Webbed index, middle and pinky finger
Pulverulent cataract	Pulverulent cataract
Lamellar pulverulent cataract	
Sutural cataract	
Polar cataract	
Anterior pyramidal cataract	Pyramidal cataract
Nuclear pulverulent cataract	cataracta pulverulenta centralis, Central pulverulent cataract, Coppock-like cataract, Pulverulent nuclear cataract
Triangular nuclear cataract	
obsolete Total cataract	
Abnormal immunoglobulin level	Abnormal immunoglobulin concentration, Abnormal serum immunoglobulin concentration, Abnormal serum immunoglobulin levels, Abnormal serum level of immunoglobulin, Immunoglobulin abnormality
Increased antibody level in blood	Elevated immunoglobulin levels, Hypergammaglobulinaemia, Hypergammaglobulinemia, Hyperglobulinemia, Increased gamma globulin, Increased immunoglobulin level, Increased serum gamma globulin, Raised immunoglobulin levels
1-2 finger syndactyly	Webbed 1st-2nd finger, Webbed thumb and index finger
4-5 finger syndactyly	Webbed 4th-5th finger
1-3 finger syndactyly	Webbed 1st-3rd finger
1-4 finger syndactyly	Webbed 1st-4th finger
1-5 finger syndactyly	Webbed 1st-5th fingers
2-4 finger syndactyly	Syndactyly of second to fourth fingers, Webbed index through ring fingers
3-5 finger syndactyly	Webbed third, fourth and fifth toes
1-2 toe syndactyly	Webbed first and second toes
1-4 toe syndactyly	Webbed first through fourth toes
1-5 toe syndactyly	Syndactyly of all toes, Webbed 1st-5th toes
2-4 toe syndactyly	Syndactyly of toes 2, 3 and 4, Syndactyly toes 2-4, Webbed 2nd-4th toes
2-5 toe syndactyly	Webbed 2nd-5th toes
3-5 toe syndactyly	Webbed 3rd-5th toes
Osseous syndactyly of toes	Osseous syndactyly of the toes
Abnormality of hair texture	Abnormality of hair consistency, Abnormality of hair curl pattern, Abnormality of hair texture, Abnormality of hair volume
Abnormal hair pattern	Abnormal distribution of hair, Abnormal hair pattern
Abnormal hair whorl	Abnormal hair whorl, Abnormal hair whorls, Abnormal whorl of hair
Asymmetry of the ears	Asymmetric ears
Cystic lesions of the pinnae	
Advanced pneumatization of the mastoid process	
Prominent corneal nerve fibers	Visible corneal nerve fibers
Spontaneous rupture of the globe	
Aplasia of the retina	Absent retina
Cherry red spot of the macula	Macular cherry red spot
Double eyebrow	Double eyebrow, Duplication of eyebrow
Extension of eyebrows towards upper eyelid	Extension of eyebrows towards upper eyelid
Nodular changes affecting the eyelids	Eyelid nodules
Naevus flammeus of the eyelid	Port-wine stain on eyelid
Fibrous dysplasia of the bones	
Polyostotic fibrous dysplasia	
Monostotic fibrous dysplasia	
Osteopoikilosis	
Osteopathia striata	
Pedal edema	Bipedal edema, Edema of the lower limbs, Fluid accumulation in lower limbs, Leg edema, Lower leg swelling, Peripheral edema of lower extremity
Edema of the upper limbs	Fluid accumulation in upper limbs
Short metatarsal	Hypoplasia of the metatarsal bones, Hypoplastic metatarsals, Short long bone of foot, Short metatarsal bone, Short metatarsal bones, Short metatarsals, Shortened metatarsals
Absent metatarsal bone	Absent long bone of foot, Aplasia of the metatarsal bones
Aplasia of the phalanges of the toes	Absent bones of the toes, Aphalangia of the toes
Hypoplasia of the phalanges of the toes	Small toe bones
Medial flaring of the eyebrow	
Ectopic lacrimal punctum	Abnormal position of the lacrimal punctum
Blepharochalasis	Saggy upper eyelid skin
